"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
23633_3,396,,"GoShuttl",3,"","",""
11746_2,203,"IC","",2,"","",""
11747_2,203,"ICL","",2,"","",""
11748_2,203,"RE","",2,"","",""
11750_2,203,"007","",2,"","",""
11754_2,203,"EC","",2,"","",""
16448_109,318,"A","",109,"","",""
16449_109,318,"B","",109,"","",""
16450_109,318,"BX","",109,"","",""
16451_109,318,"C","",109,"","",""
16452_109,318,"E","",109,"","",""
16453_109,318,"F","",109,"","",""
16454_109,318,"H","",109,"","",""
16748_2,203,"IB","",2,"","",""
21293_2,203,"Togbus","",2,"","",""
21848_2,203,"RE","",2,"","",""
21878_2,203,"047","",2,"","",""
22243_2,203,"029","",2,"","",""
22244_2,381,"029","",2,"","",""
22368_2,318,"Grøn","",2,"","",""
22369_2,318,"Rød","",2,"","",""
22370_2,318,"Blå","",2,"","",""
23354_2,318,"Orange","",2,"","",""
23643_2,203,"P","",2,"","",""
17819_3,202,"2","",3,"","",""
17829_3,202,"5","",3,"","",""
17834_3,202,"6","",3,"","",""
17839_3,202,"9","",3,"","",""
18654_3,202,"1","",3,"","",""
18656_3,202,"3","",3,"","",""
18657_3,202,"4","",3,"","",""
18859_3,202,"22","",3,"","",""
18860_3,202,"23","",3,"","",""
19760_3,202,"21","",3,"","",""
22073_3,202,"10","",3,"","",""
22129_3,202,"32","",3,"","",""
22131_3,202,"41","",3,"","",""
22132_3,202,"53","",3,"","",""
22133_3,202,"54","",3,"","",""
22134_3,202,"55","",3,"","",""
22136_3,202,"61","",3,"","",""
22137_3,202,"62","",3,"","",""
22168_3,202,"51","",3,"","",""
22208_3,202,"52","",3,"","",""
23533_3,202,"U10","",3,"","",""
23534_3,202,"U32","",3,"","",""
23535_3,202,"U51","",3,"","",""
23536_3,202,"U52","",3,"","",""
23537_3,202,"U62","",3,"","",""
16578_3,204,"110","",3,"","",""
16579_3,204,"111","",3,"","",""
16583_3,204,"130","",3,"","",""
16584_3,204,"131","",3,"","",""
16585_3,204,"132","",3,"","",""
16588_3,204,"141","",3,"","",""
16592_3,204,"151","",3,"","",""
16593_3,204,"152","",3,"","",""
16596_3,204,"161","",3,"","",""
16597_3,204,"162","",3,"","",""
16605_3,204,"191","",3,"","",""
16606_3,204,"2","",3,"","",""
16608_3,204,"200","",3,"","",""
16609_3,204,"201","",3,"","",""
16616_3,204,"21","",3,"","",""
16617_3,204,"210","",3,"","",""
16618_3,204,"211","",3,"","",""
16619_3,204,"22","",3,"","",""
16620_3,204,"29","",3,"","",""
16622_3,204,"30","",3,"","",""
16623_3,204,"31","",3,"","",""
16624_3,204,"32","",3,"","",""
16627_3,204,"40","",3,"","",""
16628_3,204,"401","",3,"","",""
16633_3,204,"41","",3,"","",""
16637_3,204,"51","",3,"","",""
16638_3,204,"52","",3,"","",""
16640_3,204,"61","",3,"","",""
16643_3,204,"72","",3,"","",""
16648_3,204,"81","",3,"","",""
16650_3,204,"82","",3,"","",""
16653_3,204,"885","",3,"","",""
16658_3,204,"91","",3,"","",""
16661_3,204,"912","",3,"","",""
16662_3,204,"913","",3,"","",""
16665_3,204,"920","",3,"","",""
16669_3,204,"931","",3,"","",""
16670_3,204,"932","",3,"","",""
16801_3,204,"1","",3,"","",""
16802_3,204,"122","",3,"","",""
16804_3,204,"60","",3,"","",""
18669_3,204,"110N","",3,"","",""
18673_3,204,"122S","",3,"","",""
18675_3,204,"130N","",3,"","",""
18676_3,204,"130S","",3,"","",""
18678_3,204,"140N","",3,"","",""
18680_3,204,"141N","",3,"","",""
18681_3,204,"141P","",3,"","",""
18684_3,204,"151L","",3,"","",""
18687_3,204,"152N","",3,"","",""
18692_3,204,"191N","",3,"","",""
18696_3,204,"260","",3,"","",""
18697_3,204,"265","",3,"","",""
18698_3,204,"266","",3,"","",""
18699_3,204,"267","",3,"","",""
18700_3,204,"268P","",3,"","",""
18702_3,204,"270","",3,"","",""
18703_3,204,"271","",3,"","",""
18704_3,204,"272","",3,"","",""
18705_3,204,"273","",3,"","",""
18710_3,204,"361","",3,"","",""
18712_3,204,"363","",3,"","",""
18713_3,204,"371","",3,"","",""
18714_3,204,"372","",3,"","",""
18715_3,204,"373","",3,"","",""
18716_3,204,"374","",3,"","",""
18726_3,204,"39S","",3,"","",""
18727_3,204,"405","",3,"","",""
18729_3,204,"430","",3,"","",""
18730_3,204,"431","",3,"","",""
18731_3,204,"432","",3,"","",""
18732_3,204,"433","",3,"","",""
18740_3,204,"470","",3,"","",""
18741_3,204,"471","",3,"","",""
18742_3,204,"472","",3,"","",""
18743_3,204,"481","",3,"","",""
18744_3,204,"482","",3,"","",""
18745_3,204,"483","",3,"","",""
18746_3,204,"484","",3,"","",""
18747_3,204,"485","",3,"","",""
18750_3,204,"489","",3,"","",""
18751_3,204,"490","",3,"","",""
18752_3,204,"491","",3,"","",""
18757_3,204,"541","",3,"","",""
18758_3,204,"542","",3,"","",""
18759_3,204,"551","",3,"","",""
18760_3,204,"552","",3,"","",""
